siteid,date,pub_hol,sch_hol,hr,nobs,state
51462,2013-06-17,NA,NA,4,4,WA
51462,2013-06-17,NA,NA,5,27,WA
51462,2013-06-17,NA,NA,6,99,WA
51462,2013-06-17,NA,NA,7,178,WA
51462,2013-06-17,NA,NA,8,108,WA
51462,2013-06-17,NA,NA,9,53,WA
51462,2013-06-17,NA,NA,10,36,WA
51462,2013-06-17,NA,NA,11,27,WA
51462,2013-06-17,NA,NA,12,21,WA
51462,2013-06-17,NA,NA,13,38,WA
51462,2013-06-17,NA,NA,14,22,WA
51462,2013-06-17,NA,NA,15,44,WA
51462,2013-06-17,NA,NA,16,96,WA
51462,2013-06-17,NA,NA,17,161,WA
51462,2013-06-17,NA,NA,18,85,WA
51462,2013-06-17,NA,NA,19,16,WA
51462,2013-06-17,NA,NA,20,13,WA
51462,2013-06-17,NA,NA,21,4,WA
51462,2013-06-17,NA,NA,22,3,WA
51462,2013-06-17,NA,NA,23,1,WA
51462,2013-06-18,NA,NA,4,4,WA
51462,2013-06-18,NA,NA,5,76,WA
51462,2013-06-18,NA,NA,6,298,WA
51462,2013-06-18,NA,NA,7,283,WA
51462,2013-06-18,NA,NA,8,166,WA
51462,2013-06-18,NA,NA,9,39,WA
51462,2013-06-18,NA,NA,10,45,WA
51462,2013-06-18,NA,NA,11,40,WA
51462,2013-06-18,NA,NA,12,32,WA
51462,2013-06-18,NA,NA,13,21,WA
51462,2013-06-18,NA,NA,14,31,WA
51462,2013-06-18,NA,NA,15,50,WA
51462,2013-06-18,NA,NA,16,124,WA
51462,2013-06-18,NA,NA,17,190,WA
51462,2013-06-18,NA,NA,18,93,WA
51462,2013-06-18,NA,NA,19,22,WA
51462,2013-06-18,NA,NA,20,9,WA
51462,2013-06-18,NA,NA,21,7,WA
51462,2013-06-18,NA,NA,22,6,WA
51462,2013-06-18,NA,NA,23,3,WA
51462,2013-06-19,NA,NA,4,5,WA
51462,2013-06-19,NA,NA,5,52,WA
51462,2013-06-19,NA,NA,6,177,WA
51462,2013-06-19,NA,NA,7,241,WA
51462,2013-06-19,NA,NA,8,151,WA
51462,2013-06-19,NA,NA,9,68,WA
51462,2013-06-19,NA,NA,10,60,WA
51462,2013-06-19,NA,NA,11,57,WA
51462,2013-06-19,NA,NA,12,41,WA
51462,2013-06-19,NA,NA,13,41,WA
51462,2013-06-19,NA,NA,14,38,WA
51462,2013-06-19,NA,NA,15,60,WA
51462,2013-06-19,NA,NA,16,93,WA
